rule
kˀ -> ɡ / ⋊ __ o ⋉
pˀ -> p / ⋊ __ ɨ ⋉
p -> m / ⋊ __ i ⋉
i -> ĩ / ⋊ p __ ⋉
tˀ -> ɾ / ⋊ __ e ⋉
tˀ -> d / ⋊ __ o ⋉
j -> ɲ / ⋊ ã __ a ⋉
a -> ã / ⋊ ã j __ ⋉
t͡s -> s / ⋊ a __ ɨ ⋉
ɨ -> i / ⋊ a t͡s __ ⋉
ɨ̃ -> ẽ / ⋊ __ kʷˀ e ⋉
kʷˀ -> ˀk / ⋊ ɨ̃ __ e ⋉
e -> ẽ / ⋊ ɨ̃ kʷˀ __ ⋉
ɨ -> ɨ̃ / ⋊ __ m ɨ ⋉
ɨ -> ɨ̃ / ⋊ ɨ m __ ⋉
ɨ -> ɨ̃ / ⋊ __ n e ⋉
e -> ẽ / ⋊ ɨ n __ ⋉
ɨ -> i / ⋊ __ tˀ i a ⋉
tˀ -> ˀt / ⋊ ɨ __ i a ⋉
ˀj -> ˀs / ⋊ ɨ __ e ⋉
i -> e / ⋊ j a h __ ⋉
ɲ -> ∅ / ⋊ __ ã kˀ i ⋉
kˀ -> ˀk / ⋊ ɲ ã __ i ⋉
i -> ĩ / ⋊ ɲ ã kˀ __ ⋉
j -> ɲ / ⋊ __ a m a ⋉
a -> ã / ⋊ j __ m a ⋉
a -> ã / ⋊ j a m __ ⋉
pˀ -> ˀm / ⋊ ɲ ã __ o ⋉
o -> ũ / ⋊ ɲ ã pˀ __ ⋉
j -> ɲ / ⋊ __ a p i ⋉
a -> ã / ⋊ j __ p i ⋉
i -> ĩ / ⋊ j a p __ ⋉
j -> ɲ / ⋊ __ ẽ kː u ⋉
kː -> k / ⋊ j ẽ __ u ⋉
u -> ɨ̃ / ⋊ j ẽ kː __ ⋉
pˀ -> ˀp / ⋊ j e __ a ⋉
ɨ -> u / ⋊ j __ i ⋉
∅ -> t / ⋊ j ɨ __ i ⋉
i -> a / ⋊ j ɨ __ ⋉
j -> ɲ / ⋊ __ ɨ̃ k a ⋉
ɨ̃ -> ẽ / ⋊ j __ k a ⋉
a -> ã / ⋊ j ɨ̃ k __ ⋉
kˀ -> ∅ / ⋊ __ ã pˀ o ⋉
ã -> õ / ⋊ kˀ __ pˀ o ⋉
pˀ -> ˀm / ⋊ kˀ ã __ o ⋉
o -> ẽ / ⋊ kˀ ã pˀ __ ⋉
kˀ -> d / ⋊ __ ɨ pˀ o ⋉
pˀ -> ˀp / ⋊ kˀ ɨ __ o ⋉
kˀ -> ∅ / ⋊ __ ɨ tˀ a ⋉
tˀ -> ˀt / ⋊ kˀ ɨ __ a ⋉
∅ -> u / ⋊ __ kˀ o ɨ ⋉
kˀ -> h / ⋊ __ o ɨ ⋉
o -> u / ⋊ kˀ __ ɨ ⋉
∅ -> d / ⋊ kˀ o __ ɨ ⋉
ɨ -> i / ⋊ kˀ o __ ⋉
kˀ -> ∅ / ⋊ __ o n e ⋉
o -> õ / ⋊ kˀ __ n e ⋉
n -> ˀn / ⋊ kˀ o __ e ⋉
e -> ẽ / ⋊ kˀ o n __ ⋉
kˀ -> k / ⋊ __ o p e ⋉
kˀ -> ∅ / ⋊ __ õ p i ⋉
õ -> u / ⋊ kˀ __ p i ⋉
kˀ -> ∅ / ⋊ __ õ ʔ ã ⋉
kˀ -> ∅ / ⋊ __ o ʔ o ⋉
∅ -> n / ⋊ k ã __ ⋉
∅ -> ĩ / ⋊ k ã __ ⋉
j -> s / ⋊ k a __ a ⋉
ɨ -> i / ⋊ k __ i ⋉
o -> õ / ⋊ k __ n e ⋉
e -> ẽ / ⋊ k o n __ ⋉
∅ -> ˀn / ⋊ k ũ __ ⋉
∅ -> ĩ / ⋊ k ũ __ ⋉
kʷ -> k / ⋊ __ ɨ tˀ e ⋉
ɨ -> o / ⋊ kʷ __ tˀ e ⋉
tˀ -> ˀt / ⋊ kʷ ɨ __ e ⋉
