Number	Proto	Context	Reflexes	Source	Target
1	h		∅,h	h	∅
3	j	V_V	h,j/tʃ,j,tʃ,s	j	ɦ
3	j	V_V	h,j/tʃ,j,tʃ,s	ɦ	h
3	j	V_V	h,j/tʃ,j,tʃ,s	j	ʒ
3	j	V_V	h,j/tʃ,j,tʃ,s	ʒ	t͡ʃ
3	j	V_V	h,j/tʃ,j,tʃ,s	j	ʒ
3	j	V_V	h,j/tʃ,j,tʃ,s	ʒ	t͡ʃ
3	j	V_V	h,j/tʃ,j,tʃ,s	j	z
3	j	V_V	h,j/tʃ,j,tʃ,s	z	s
4	k	#_	k,kʰ	k	kʰ
5	k	V_V	k,kʰ,ɡ	k	kʰ
5	k	V_V	k,kʰ,ɡ	k	ɡ
6	k	i,e_	k,tʃ,kʰ	k	c
6	k	i,e_	k,tʃ,kʰ	c	t͡ɕ
6	k	i,e_	k,tʃ,kʰ	t͡ɕ	t͡ʃ
6	k	i,e_	k,tʃ,kʰ	k	kʰ
7	k	~V_V	k,kʰ,∅,ɡ	k	kʰ
7	k	~V_V	k,kʰ,∅,ɡ	k	∅
7	k	~V_V	k,kʰ,∅,ɡ	k	ɡ
8	kː		k,kʰ	kː	k
8	kː		k,kʰ	kː	kʰ
9	kˀ	#_	k/ɡ,∅,ɡ/∅,kˀ ,ɡ,k,kˀ,kʰ	kˀ	ˀk
9	kˀ	#_	k/ɡ,∅,ɡ/∅,kˀ ,ɡ,k,kˀ,kʰ	ˀk	k
9	kˀ	#_	k/ɡ,∅,ɡ/∅,kˀ ,ɡ,k,kˀ,kʰ	kˀ	ˀk
9	kˀ	#_	k/ɡ,∅,ɡ/∅,kˀ ,ɡ,k,kˀ,kʰ	ˀk	ɡ
9	kˀ	#_	k/ɡ,∅,ɡ/∅,kˀ ,ɡ,k,kˀ,kʰ	kˀ	ˀk
9	kˀ	#_	k/ɡ,∅,ɡ/∅,kˀ ,ɡ,k,kˀ,kʰ	ˀk	∅
9	kˀ	#_	k/ɡ,∅,ɡ/∅,kˀ ,ɡ,k,kˀ,kʰ	kˀ	ˀk
9	kˀ	#_	k/ɡ,∅,ɡ/∅,kˀ ,ɡ,k,kˀ,kʰ	ˀk	ɡ
9	kˀ	#_	k/ɡ,∅,ɡ/∅,kˀ ,ɡ,k,kˀ,kʰ	kˀ	ˀk
9	kˀ	#_	k/ɡ,∅,ɡ/∅,kˀ ,ɡ,k,kˀ,kʰ	ˀk	∅
9	kˀ	#_	k/ɡ,∅,ɡ/∅,kˀ ,ɡ,k,kˀ,kʰ	kˀ	ˀk
9	kˀ	#_	k/ɡ,∅,ɡ/∅,kˀ ,ɡ,k,kˀ,kʰ	ˀk	ɡ
9	kˀ	#_	k/ɡ,∅,ɡ/∅,kˀ ,ɡ,k,kˀ,kʰ	kˀ	ˀk
9	kˀ	#_	k/ɡ,∅,ɡ/∅,kˀ ,ɡ,k,kˀ,kʰ	ˀk	k
9	kˀ	#_	k/ɡ,∅,ɡ/∅,kˀ ,ɡ,k,kˀ,kʰ	kˀ	ˀk
9	kˀ	#_	k/ɡ,∅,ɡ/∅,kˀ ,ɡ,k,kˀ,kʰ	ˀk	k
9	kˀ	#_	k/ɡ,∅,ɡ/∅,kˀ ,ɡ,k,kˀ,kʰ	k	kʰ
10	kˀ	V_V	k/ɡ,∅,ɡ,k,kʰ	kˀ	ˀk
10	kˀ	V_V	k/ɡ,∅,ɡ,k,kʰ	ˀk	k
10	kˀ	V_V	k/ɡ,∅,ɡ,k,kʰ	kˀ	ˀk
10	kˀ	V_V	k/ɡ,∅,ɡ,k,kʰ	ˀk	ɡ
10	kˀ	V_V	k/ɡ,∅,ɡ,k,kʰ	kˀ	ˀk
10	kˀ	V_V	k/ɡ,∅,ɡ,k,kʰ	ˀk	∅
10	kˀ	V_V	k/ɡ,∅,ɡ,k,kʰ	kˀ	ˀk
10	kˀ	V_V	k/ɡ,∅,ɡ,k,kʰ	ˀk	ɡ
10	kˀ	V_V	k/ɡ,∅,ɡ,k,kʰ	kˀ	ˀk
10	kˀ	V_V	k/ɡ,∅,ɡ,k,kʰ	ˀk	k
10	kˀ	V_V	k/ɡ,∅,ɡ,k,kʰ	kˀ	ˀk
10	kˀ	V_V	k/ɡ,∅,ɡ,k,kʰ	ˀk	k
10	kˀ	V_V	k/ɡ,∅,ɡ,k,kʰ	k	kʰ
11	m		b,m	m	b
12	n		n,d	n	d
13	p	#_	h,p,pʰ,p/ɸ	p	f
13	p	#_	h,p,pʰ,p/ɸ	f	h
13	p	#_	h,p,pʰ,p/ɸ	p	pʰ
13	p	#_	h,p,pʰ,p/ɸ	p	ɸ
14	p	V_V	h,p,p/ɸ	p	f
14	p	V_V	h,p,p/ɸ	f	h
14	p	V_V	h,p,p/ɸ	p	ɸ
15	pˀ	#_	p/b,ˀb,p,pˀ ,b,pˀ	pˀ	ˀp
15	pˀ	#_	p/b,ˀb,p,pˀ ,b,pˀ	ˀp	p
15	pˀ	#_	p/b,ˀb,p,pˀ ,b,pˀ	pˀ	ˀp
15	pˀ	#_	p/b,ˀb,p,pˀ ,b,pˀ	ˀp	b
15	pˀ	#_	p/b,ˀb,p,pˀ ,b,pˀ	pˀ	ˀp
15	pˀ	#_	p/b,ˀb,p,pˀ ,b,pˀ	ˀp	bˀ
15	pˀ	#_	p/b,ˀb,p,pˀ ,b,pˀ	bˀ	ɓ
15	pˀ	#_	p/b,ˀb,p,pˀ ,b,pˀ	ɓ	ˀb
15	pˀ	#_	p/b,ˀb,p,pˀ ,b,pˀ	pˀ	ˀp
15	pˀ	#_	p/b,ˀb,p,pˀ ,b,pˀ	ˀp	p
15	pˀ	#_	p/b,ˀb,p,pˀ ,b,pˀ	pˀ	ˀp
15	pˀ	#_	p/b,ˀb,p,pˀ ,b,pˀ	ˀp	b
16	pˀ	#_V*p	h,p,b	pˀ	ˀp
16	pˀ	#_V*p	h,p,b	ˀp	f
16	pˀ	#_V*p	h,p,b	f	h
16	pˀ	#_V*p	h,p,b	pˀ	ˀp
16	pˀ	#_V*p	h,p,b	ˀp	p
16	pˀ	#_V*p	h,p,b	pˀ	ˀp
16	pˀ	#_V*p	h,p,b	ˀp	b
17	pˀ	V_V	h,p,b	pˀ	ˀp
17	pˀ	V_V	h,p,b	ˀp	f
17	pˀ	V_V	h,p,b	f	h
17	pˀ	V_V	h,p,b	pˀ	ˀp
17	pˀ	V_V	h,p,b	ˀp	p
17	pˀ	V_V	h,p,b	pˀ	ˀp
17	pˀ	V_V	h,p,b	ˀp	b
18	pˀ	~V_V	h,b	pˀ	ˀp
18	pˀ	~V_V	h,b	ˀp	f
18	pˀ	~V_V	h,b	f	h
18	pˀ	~V_V	h,b	pˀ	ˀp
18	pˀ	~V_V	h,b	ˀp	b
19	s	#_	s,h,tʃ	s	h
19	s	#_	s,h,tʃ	s	t͡ʃ
20	s	V_V	s,h,s/tʃ,tʃ	s	h
20	s	V_V	s,h,s/tʃ,tʃ	s	t͡ʃ
20	s	V_V	s,h,s/tʃ,tʃ	s	t͡ʃ
21	t	#_	tʰ,t	t	tʰ
22	t	V_V	tʰ,t,d	t	tʰ
22	t	V_V	tʰ,t,d	t	d
23	t	~V_V	tʰ,t,n,d	t	tʰ
23	t	~V_V	tʰ,t,n,d	t	d
23	t	~V_V	tʰ,t,n,d	d	n
23	t	~V_V	tʰ,t,n,d	t	d
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	t͡s	t
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	t	s
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	s	h
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	t͡s	t
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	t	s
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	s	h
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	h	ɦ
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	ɦ	j
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	t͡s	t
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	t͡s	t
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	t	s
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	t͡s	t
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	t	s
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	t͡s	t
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	t	s
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	t͡s	t
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	t	s
24	ts 	#_	h,j,t/s,ts/s,s,s/tʃ	t͡s	t͡ʃ
25	ts 	V_V	h,t,ts,tʃ,s	t͡s	t
25	ts 	V_V	h,t,ts,tʃ,s	t	s
25	ts 	V_V	h,t,ts,tʃ,s	s	h
25	ts 	V_V	h,t,ts,tʃ,s	t͡s	t
25	ts 	V_V	h,t,ts,tʃ,s	t͡s	t͡ʃ
25	ts 	V_V	h,t,ts,tʃ,s	t͡s	t
25	ts 	V_V	h,t,ts,tʃ,s	t	s
26	tsˀ	#_	sˀ,h,j,d	t͡s	t
26	tsˀ	#_	sˀ,h,j,d	t	tˀ
26	tsˀ	#_	sˀ,h,j,d	tˀ	ˀt
26	tsˀ	#_	sˀ,h,j,d	ˀt	ˀs
26	tsˀ	#_	sˀ,h,j,d	ˀs	sˀ
26	tsˀ	#_	sˀ,h,j,d	t͡s	t
26	tsˀ	#_	sˀ,h,j,d	t	s
26	tsˀ	#_	sˀ,h,j,d	s	h
26	tsˀ	#_	sˀ,h,j,d	t͡s	t
26	tsˀ	#_	sˀ,h,j,d	t	s
26	tsˀ	#_	sˀ,h,j,d	s	h
26	tsˀ	#_	sˀ,h,j,d	h	ɦ
26	tsˀ	#_	sˀ,h,j,d	ɦ	j
26	tsˀ	#_	sˀ,h,j,d	t͡s	t
26	tsˀ	#_	sˀ,h,j,d	t	d
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	t͡s	t
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	t	s
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	s	h
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	t͡s	t
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	t	tˀ
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	tˀ	ˀt
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	ˀt	ˀs
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	ˀs	sˀ
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	t͡s	t
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	t	z
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	z	ɾ
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	ɾ	r
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	t͡s	t
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	t	s
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	s	h
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	h	ɦ
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	ɦ	j
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	t͡s	t
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	t	z
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	z	ɾ
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	ɾ	r
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	t͡s	t
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	t	s
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	s	l̥
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	l̥	l
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	t͡s	t
27	tsˀ	#_i	h,sˀ,r,j,r/l,d	t	d
28	tː	V_V	tʰ,t,t/tʃ	tː	tʰ
28	tː	V_V	tʰ,t,t/tʃ	tː	t
